Grain isolé n°,Moyenne de B,Moyenne de G,Moyenne de R
Grain isolé n°1,133.95,160.57,184.29
Grain isolé n°2,60.99,73.69,81.33
Grain isolé n°3,87.2,95.2,102.09
Grain isolé n°4,77.54,93.06,94.15
Grain isolé n°5,99.49,113.73,119.52
Grain isolé n°6,106.98,130.01,148.27
Grain isolé n°7,81.12,81.13,83.25
Grain isolé n°8,131.21,144.99,154.29
Grain isolé n°9,91.81,108.61,122.42
Grain isolé n°10,138.4,145.66,152.25
Grain isolé n°11,107.95,109.27,111.36
Grain isolé n°12,73.57,82.28,86.51
Grain isolé n°13,85.97,105.69,119.03
Grain isolé n°14,66.68,72.03,73.93
Grain isolé n°15,85.36,89.64,92.03
Grain isolé n°16,88.5,94.01,99.06
Grain isolé n°17,82.6,98.69,101.39
Grain isolé n°18,58.98,65.21,67.5
Grain isolé n°19,85.03,86.12,88.32
Grain isolé n°20,58.58,62.35,63.14
Grain isolé n°21,83.4,115.1,123.32
Grain isolé n°22,78.18,82.71,86.78
Grain isolé n°23,117.11,127.4,135.5
Grain isolé n°24,118.16,132.75,139.47
Grain isolé n°25,82.95,108.61,120.1
Grain isolé n°26,63.09,83.61,90.89
Grain isolé n°27,116.43,135.77,138.79
Grain isolé n°28,94.08,111.45,112.41
Grain isolé n°29,129.83,166.01,189.12
Grain isolé n°30,70.36,76.89,78.7
